number,name,type,type_label,runs_days,source_code,source,dest_code,destination,distance_km,travel_time,num_stops
11021,DADAR TEN EXP,MEX,Mail/Express,"Tue,Wed,Sat",DR,DADAR,TEN,TIRUNELVELI JN,1811,37:10,38
20102,NGP VANDE BHARAT,VNDB,Vande Bharat,"Mon,Wed,Thu,Fri,Sat,Sun",SC,SECUNDERABAD JN,NGP,NAGPUR JN.,579,07:20,9
94801,NAMO BHARAT RAPID RAIL ,VNDM,Vande Bharat Metro,"Mon,Tue,Wed,Thu,Fri,Sun",ADI,AHMEDABAD JN,BHUJ,BHUJ,359,05:50,13
11028,SATARA DR EXP,MEX,Mail/Express,"Mon,Tue,Sat",STR,SATARA,DR,DADAR,690,15:05,29
20174,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Wed,Thu,Fri,Sat,Sun",REWA,REWA,RKMP,RANI KAMALAPATI,569,08:10,10
94802,NAMO BHARAT RAPID RAIL,VNDM,Vande Bharat Metro,"Mon,Tue,Wed,Thu,Fri,Sat",BHUJ,BHUJ,ADI,AHMEDABAD JN,359,05:35,13
11080,GKP LTT EXPRESS,MEX,Mail/Express,Sat,GKP,GORAKHPUR JN,LTT,LOKMANYATILAK,1745,34:05,28
20175,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Tue,Thu,Fri,Sat,Sun",BNRS,BANARAS,AGC,AGRA CANTT JN,575,07:00,6
94803,NAMO BHARAT RAPID RAIL,VNDM,Vande Bharat Metro,"Mon,Tue,Wed,Thu,Fri,Sat",JYG,JAYNAGAR,PNBE,PATNA JN,264,05:40,9
11140,HPT CSMT EXP,SUF,Superfast,Daily,HPT,HOSAPETE JUNCTION,CSMT,C SHIVAJI MAH T,840,15:30,16
20402,LKO BSB SF EXP,SUF,Superfast,Daily,LKO,LUCKNOW JN.,BSB,VARANASI,283,04:40,12
94804,NAMO BHARAT RAPID RAIL,VNDM,Vande Bharat Metro,"Mon,Tue,Wed,Thu,Fri,Sun",PNBE,PATNA JN,JYG,JAYNAGAR,264,05:50,9
11416,GDG-SUR EXP,MEX,Mail/Express,Daily,HPT,HOSAPETE JUNCTION,SUR,SOLAPUR JN,383,09:15,42
20404,LGH PRYJ SF EXP,SUF,Superfast,"Mon,Thu,Sat",LGH,LALGARH JN,PRYJ,PRAYAGRAJ JN,1318,24:00,35
12001,NDLS SHATABDI,SHT,Shatabdi,Daily,RKMP,RANI KAMALAPATI,NDLS,NEW DELHI,707,08:40,11
20407,RNC NDLS RAJ EX,RAJ,Rajdhani,Thu,RNC,RANCHI,NDLS,NEW DELHI,1249,16:45,8
12006,KALKA SHTABDI EX,SHT,Shatabdi,Daily,KLK,KALKA,NDLS,NEW DELHI,268,04:00,6
20411,DLI-SRE SUF EXP,SUF,Superfast,Daily,DLI,DELHI JN.,SRE,SAHARANPUR JN.,181,03:15,6
12007,MYS SHATABDI,SHT,Shatabdi,"Mon,Tue,Wed,Fri,Sat,Sun",MAS,PURATCHI THALAIVAR DR. MGR CTL,MYS,MYSORE JN,492,07:00,4
20416,MAHAKAL SUP EXP,SUF,Superfast,Mon,INDB,INDORE JN,BSB,VARANASI,1083,17:25,10
12008,SHATABDI EXP,SHT,Shatabdi,"Mon,Tue,Wed,Fri,Sat,Sun",MYS,MYSORE JN,MAS,PURATCHI THALAIVAR DR. MGR CTL,492,07:10,4
20501,TEJAS EXPRESS,RAJ,Rajdhani,Mon,AGTL,AGARTALA,ANVT,ANAND VIHAR TERMINAL,2593,43:50,22
12013,AMRITSAR SHTABDI,SHT,Shatabdi,Daily,NDLS,NEW DELHI,ASR,AMRITSAR,447,06:35,8
20502,AGTL TEJAS RAJ,RAJ,Rajdhani,Wed,ANVT,ANAND VIHAR TERMINAL,AGTL,AGARTALA,2592,44:35,22
12014,AMRITSAR SHTABDI,SHT,Shatabdi,Daily,ASR,AMRITSAR,NDLS,NEW DELHI,447,06:07,8
