train_number,journey_date,train_name,runs_days,distance_km,scheduled_stops,stops_csv_rows,travel_time,candidate_status,source_dataset,source_reference,selection_basis
12301,11-06-2026,RAJDHANI EXPRES,"Mon,Tue,Wed,Thu,Fri,Sat",1449,9,9,17:15,confirmed_existing_pair,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=12301; stops.csv train_number=12301,Preserved confirmed pair; train and 9 scheduled stops verified in the local timetable files.
13307,02-09-2026,GANGASUTLEJ EXP,Daily,1601,71,71,36:10,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=13307; stops.csv train_number=13307,Recorded running days Daily; 1601 km; 71 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday.
16311,01-09-2026,SGNR KCVL EXP,Tue,3018,53,53,56:35,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=16311; stops.csv train_number=16311,Recorded running days Tue; 3018 km; 53 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday.
22643,01-09-2026,ERS PNBE SF EXP,"Mon,Tue",2781,45,45,50:40,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=22643; stops.csv train_number=22643,"Recorded running days Mon,Tue; 2781 km; 45 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
18524,31-08-2026,BNRS VSKP EXP,"Mon,Thu",1408,45,45,28:55,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=18524; stops.csv train_number=18524,"Recorded running days Mon,Thu; 1408 km; 45 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
20813,02-09-2026,PURI JU S F,Wed,2438,42,42,43:35,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=20813; stops.csv train_number=20813,Recorded running days Wed; 2438 km; 42 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday.
22851,27-08-2026,MAQ VIVEK SF EXP,Thu,2485,40,40,41:55,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=22851; stops.csv train_number=22851,Recorded running days Thu; 2485 km; 40 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday.
14707,02-09-2026,RANAKPUR EXP,Daily,1449,40,40,25:45,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=14707; stops.csv train_number=14707,Recorded running days Daily; 1449 km; 40 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday.
19045,02-09-2026,TAPTI GANGA EXP,"Mon,Wed,Thu,Fri,Sun",1821,40,40,34:45,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=19045; stops.csv train_number=19045,"Recorded running days Mon,Wed,Thu,Fri,Sun; 1821 km; 40 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
12615,02-09-2026,GRAND TRUNK EXP,Daily,2177,39,39,34:55,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=12615; stops.csv train_number=12615,Recorded running days Daily; 2177 km; 39 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday.
17205,01-09-2026,SNSI COA EXPRESS,"Tue,Thu,Sun",1340,39,39,26:45,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=17205; stops.csv train_number=17205,"Recorded running days Tue,Thu,Sun; 1340 km; 39 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
11021,02-09-2026,DADAR TEN EXP,"Tue,Wed,Sat",1811,38,38,37:10,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=11021; stops.csv train_number=11021,"Recorded running days Tue,Wed,Sat; 1811 km; 38 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
12336,01-09-2026,LTT BHAGALPUR EX,"Tue,Sun",1910,38,38,33:50,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=12336; stops.csv train_number=12336,"Recorded running days Tue,Sun; 1910 km; 38 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
22948,31-08-2026,BGP SURAT EXP,"Mon,Thu",1817,37,37,33:02,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=22948; stops.csv train_number=22948,"Recorded running days Mon,Thu; 1817 km; 37 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
12592,31-08-2026,GORAKHPUR EXP,Mon,2509,37,37,45:40,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=12592; stops.csv train_number=12592,Recorded running days Mon; 2509 km; 37 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday.
12409,02-09-2026,GONDWANA SF EXP,"Mon,Wed,Thu,Fri,Sat",1632,36,36,25:35,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=12409; stops.csv train_number=12409,"Recorded running days Mon,Wed,Thu,Fri,Sat; 1632 km; 36 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
15903,31-08-2026,DBRG CDG EXP,"Mon,Fri",2643,36,36,52:30,schedule_candidate,backend/data/processed/trains.csv; backend/data/processed/stops.csv,trains.csv number=15903; stops.csv train_number=15903,"Recorded running days Mon,Fri; 2643 km; 36 scheduled stops; date is the latest completed date on or before 02-09-2026 matching the recorded origin weekday."
